Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","2012","tonnes","148224.7","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2013","2013","tonnes","162795.6","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2014","2014","tonnes","174174","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","2015","tonnes","182570","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","2016","tonnes","199800","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","2017","tonnes","203177.02","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","tonnes","226037.15","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","tonnes","213910.24","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","tonnes","227547.72","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","tonnes","236851.92","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2001","2001","tonnes","200812","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2002","2002","tonnes","212665","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2003","2003","tonnes","226640","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2004","2004","tonnes","259970","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2005","2005","tonnes","268790","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2006","2006","tonnes","257760","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2007","2007","tonnes","251730","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2008","2008","tonnes","268010","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2009","2009","tonnes","270340","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2010","2010","tonnes","298840","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2011","2011","tonnes","331627.8","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2012","2012","tonnes","362840","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2013","2013","tonnes","356845","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2014","2014","tonnes","395402","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2015","2015","tonnes","396608","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2016","2016","tonnes","404028","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2017","2017","tonnes","409699.83","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2018","2018","tonnes","460109.77","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2019","2019","tonnes","494671.75","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2020","2020","tonnes","537774.93","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01232","Cucumbers and gherkins","2021","2021","tonnes","582134.5","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2001","2001","tonnes","41748","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2002","2002","tonnes","38455","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2003","2003","tonnes","43750","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2004","2004","tonnes","48310","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2005","2005","tonnes","51000","T","Unofficial figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2006","2006","tonnes","58380","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2007","2007","tonnes","51130","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2008","2008","tonnes","44280","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2009","2009","tonnes","51430","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2010","2010","tonnes","63620","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2011","2011","tonnes","60522.3","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2012","2012","tonnes","70368.79","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2013","2013","tonnes","75645.4","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2014","2014","tonnes","76838","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2015","2015","tonnes","84254","A","Official figure"
